shock_id,shock,tau,Wald,lag,asy_p,decision_5pct
1,Positive,0.1,0.36059612400425656,1,0.5481753497758701,Fail to reject
1,Positive,0.25,0.581157210073442,1,0.4458590886909346,Fail to reject
1,Positive,0.5,0.10307138366216236,1,0.7481745288821919,Fail to reject
1,Positive,0.75,0.6502932551192078,1,0.4200078527167641,Fail to reject
1,Positive,0.9,13.972687492568925,1,0.00018548565581214031,Reject
2,Negative,0.1,13.448157467938877,1,0.0002452469220306437,Reject
2,Negative,0.25,1.9448319704721146,1,0.16314484535610016,Fail to reject
2,Negative,0.5,0.21073218013934247,1,0.6461941330797814,Fail to reject
2,Negative,0.75,0.6969929356657759,1,0.4037959599133457,Fail to reject
2,Negative,0.9,0.026397387979255917,1,0.8709336012808083,Fail to reject
